component_id,component_name,controls,assessment_type,assessment_method,assessment_description,assessment_id,parameter_count,parameters
is.load-balancer,Load Balancer for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Load Balancer for VPC,rule-6fd901b9-879a-4894-bda5-ed40fbe99730,0,[]
is.network-acl,Network ACL,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC network access control lists,rule-eeba25ca-0084-4b84-9979-ef8477942df7,0,[]
is.public-gateway,Public Gateway,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC public gateways,rule-134ad94f-186c-410f-a97b-4d739627b881,0,[]
is.security-group,Security Group for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC security groups,rule-628cf4f7-1b07-472b-8162-ea95b9335397,0,[]
is.snapshot,Block Storage Snapshots for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Block Storage Snapshots for VPC,rule-9d6236c6-6549-4722-b8ed-ef3f998396b2,0,[]
is.subnet,Subnet,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC subnets,rule-2c129d6e-61b4-43cb-8dc0-81cb553afec3,0,[]
is.volume,Block Storage for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Block Storage for VPC,rule-7566b2cb-eb91-43b3-a661-154cf08664dc,0,[]
is.vpc,Virtual Private Cloud,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Virtual Private Cloud,rule-cbfa30f4-f766-468d-a539-b83e3ce8901e,0,[]
is.vpn,VPN for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPN for VPC,rule-821f0dd8-8516-45e0-bdde-17c726573d44,0,[]
schematics,Schematics,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Schematics,rule-e1a1fc17-59dc-4e1e-b303-6b5442048f31,0,[]
secrets-manager,Secrets Manager,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Secrets Manager,rule-a805aeea-8037-4a99-be6e-4537089922a7,0,[]
transit,Transit Gateway,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Transit Gateway,rule-83a7de4c-f63c-488b-b4ba-80bf8141cadd,0,[]
user-management,User Management,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for User Management,rule-d1a21d53-67fe-4018-a670-f7a5840210ba,0,[]
is.instance-group,Auto Scale for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Auto Scale for VPC can be accessed only through a private endpoint,rule-9b2822ec-cde3-4367-b3b7-3aabceb7ce13,0,[]
is.bare-metal-server,Bare Metal Servers for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Bare Metal Servers for VPC can be accessed only through a private endpoint,rule-1399da2c-af02-47a3-bec1-0baa48297619,0,[]
is.vpn-server,Client VPN for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Client VPN for VPC can be accessed only through a private endpoint,rule-8f3a6416-3621-4666-a2a7-271704432552,0,[]
is.dedicated-host,Dedicated Host for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Dedicated Host for VPC can be accessed only through a private endpoint,rule-4aebb5fe-61df-458c-b534-60fd644ae542,0,[]
is.floating-ip,Floating IP for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC floating IPs can be accessed only through a private endpoint,rule-a3ee571a-b0fe-408f-9c8b-064e44fe99d5,0,[]
is.backup-policy,IBM Cloud Backup for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Backup for VPC can be accessed only through a private endpoint,rule-30e49535-38d9-4969-8f78-56cf8be67557,0,[]
is.image,Image Service for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC images can be accessed only through a private endpoint,rule-72f16940-fa5b-4719-a7e8-35a1cc721a6a,0,[]
is.placement-group,Placement Groups for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC placement groups can be accessed only through a private endpoint,rule-113e00c2-0503-4a09-8e6c-893ad51b6643,0,[]
is.key,SSH Key for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether VPC SSH keys can be accessed only through a private endpoint,rule-235d040e-ae2b-4832-9c28-b79cc2d6be6c,0,[]
is.endpoint-gateway,Virtual Private Endpoint for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Private Endpoints for VPC can be accessed only through a private endpoint,rule-45e6a74e-74d4-495d-88da-f0cda147d8b4,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Virtual Servers for VPC can be accessed only through a private endpoint,rule-4a8fce3e-5bf4-4b57-8df7-c9f2f374abf3,0,[]
iam-access-management,IAM Access Management Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether IAM access management can be accessed only through a private endpoint,rule-e9a2d69f-757d-4371-8508-419fc13550f1,0,[]
is.instance-group,Auto Scale for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Auto Scale for VPC,rule-d271f870-ceee-4c7b-80cd-afa656d91345,0,[]
is.bare-metal-server,Bare Metal Servers for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Bare Metal Servers for VPC,rule-0f5956af-a27b-41b4-a0ba-2a5f7c241361,0,[]
is.vpn-server,Client VPN for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Client VPN for VPC,rule-38ed88e7-45b5-4c40-919a-5556796cf50e,0,[]
is.dedicated-host,Dedicated Host for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Dedicated Host for VPC,rule-466c09e7-f7d5-47e5-a4b1-d89d0cb7b847,0,[]
is.floating-ip,Floating IP for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC floating IPs,rule-af947fb3-f91d-4019-949e-ee25a3a441a7,0,[]
is.backup-policy,IBM Cloud Backup for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Backup for VPC,rule-8c0d2fba-9f40-41ca-aad2-d65df81d4390,0,[]
is.image,Image Service for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC images,rule-18717f44-e8ed-4224-9e28-e8a0a2181766,0,[]
is.placement-group,Placement Groups for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC placement groups,rule-e32c033a-0d2b-4477-8129-01ec758281e3,0,[]
is.key,SSH Key for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for VPC SSH keys,rule-97595caa-f691-41f3-991f-b06222b9ff8d,0,[]
is.endpoint-gateway,Virtual Private Endpoint for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Virtual Private Endpoints for VPC,rule-052e91d0-75be-46a8-9b95-dc6e72c78580,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Virtual Servers for VPC,rule-454c9e3f-1441-4214-acb8-0c74980a1d75,0,[]
iam-access-management,IAM Access Management Service,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for IAM access management,rule-7e7c09f6-fc69-4a9c-9282-5d04c4eef96b,0,[]
compliance,Security and Compliance Center,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Security and Compliance Center can be accessed only through a private endpoint,rule-d6b8cc81-b78b-49a5-87a3-34c71a198a71,0,[]
codeengine,Code Engine,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether Code Engine can be accessed only through a private endpoint,rule-e9bae442-b92e-414d-88a9-d107511f554c,0,[]
compliance,Security and Compliance Center,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Security and Compliance Center,rule-554328f0-188f-4d1c-a088-f20f77248a32,0,[]
codeengine,Code Engine,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for Code Engine,rule-7937a8fd-a7ba-4c03-89ad-09726eb30c59,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether DNS Services can be accessed only through a private endpoint,rule-6252793f-9da5-4a04-9f9d-279b6e2c6907,0,[]
is.instance,Virtual Server for VPC,"[""AC-4(0)"",""CM-7(a)"",""CM-7(b)"",""SC-7(a)"",""SC-7(b)"",""SC-7(4)(a)"",""SC-7(5)(0)""]",automated,ibm-cloud-rule,Check whether there are no wild cards in the private endpoint allow list for DNS Services,rule-bd17ba0b-d749-445f-9f8e-d0aa076bf575,0,[]
appid,App ID,"[""AC-5(c)"",""CM-7(a)"",""CM-7(b)""]",automated,ibm-cloud-rule,Check whether App ID user profile updates from client apps is disabled,rule-e498e1a5-0b12-4c62-bbd4-ad03b4753edf,0,[]
appid,App ID,"[""AC-5(c)"",""AC-6(0)"",""CM-7(a)"",""CM-7(b)""]",automated,ibm-cloud-rule,Check whether App ID Cloud Directory users aren't able to update their own accounts,rule-1d2287c7-954e-4425-897b-351c30be723c,0,[]
appid,App ID,"[""AC-5(c)"",""CM-7(a)"",""CM-7(b)""]",automated,ibm-cloud-rule,Check whether App ID Cloud Directory users aren't able to self-sign up to applications,rule-9786160b-ee91-45ab-b84b-9806541e0fc6,0,[]
appid,App ID,"[""AC-7(a)""]",automated,ibm-cloud-rule,Check whether App ID Cloud Directory lockout policy after failed # of sign-in attempts is enabled,rule-94c5292e-f0bc-42d3-b36c-525b0c4d502c,0,[]
appid,App ID,"[""AC-7(a)"",""AC-7(b)"",""CM-7(b)"",""IA-5(c)"",""IA-5(f)"",""IA-5(1)(d)"",""IA-5(1)(e)""]",automated,ibm-cloud-rule,Check whether App ID Cloud Directory advanced password management is enabled,rule-4de99c09-4c17-4b66-b497-63b7d4c62361,0,[]
appid,App ID,"[""AC-7(a)"",""AC-7(b)"",""CM-7(b)"",""IA-5(c)"",""IA-5(f)"",""IA-5(1)(d)"",""IA-5(1)(e)""]",automated,ibm-cloud-rule,Check whether App ID Cloud Directory avoid password reuse policy is enabled,rule-dd1600d2-2e69-4ada-bca5-9e70b76ccd21,0,[]
iam-identity,IAM Identity Service,"[""AC-7(a)""]",automated,ibm-cloud-rule,IBMid enforces a limit of 5 consecutive unsuccessful sign in attempts,rule-2f4887ab-bcfa-4c46-b0dc-0c916636988b,0,[]
appid,App ID,"[""AC-7(b)""]",automated,ibm-cloud-rule,Check whether App ID Cloud Directory lockout period is set to at least # minute(s),rule-df5ef7fa-0ded-4f18-9555-02c399227693,1,"[{""parameter_name"":""lockout_policy_config_minutes"",""parameter_display_name"":""Lockout duration policy setting in minutes"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
iam-identity,IAM Identity Service,"[""AC-7(b)""]",automated,ibm-cloud-rule,IBMid automatically locks an account for 30 minutes after 5 consecutive unsuccessful sign in attempts,rule-d5c02ad0-c119-43a2-9243-fbb59ba19c18,0,[]
iam-identity,IAM Identity Service,"[""AC-11(a)""]",automated,ibm-cloud-rule,Check whether sign out due to inactivity is set to # seconds or less for IBM Cloud accounts,rule-a637949b-7e51-46c4-afd4-b96619001bf1,1,"[{""parameter_name"":""session_invalidation_in_seconds"",""parameter_display_name"":""Sign out due to inactivity in seconds"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
iam-identity,IAM Identity Service,"[""AC-11(b)""]",automated,ibm-cloud-rule,IBM Cloud retains the session lock until access is reestablished by signing in,rule-57e393aa-292c-481d-b29f-a4e535b39ff6,0,[]
iam-identity,IAM Identity Service,"[""AC-11(1)(0)""]",automated,ibm-cloud-rule,IBM Cloud console conceals information previously visible on the display when the user has been signed out due to inactivity,rule-3528540e-02f7-42b3-b0b3-fcdc9537db6c,0,[]
appid,App ID,"[""AC-14(a)"",""CM-7(a)"",""CM-7(b)""]",automated,ibm-cloud-rule,Check whether App ID anonymous authentication is disabled,rule-d9247d0e-dce5-4854-849a-4a9033c8fe8d,0,[]
iam-groups,IAM Access Groups Service,"[""AC-14(a)""]",automated,ibm-cloud-rule,Check whether no public access is granted via the IAM public access group,rule-101f8fe1-8def-4f5b-8a7e-20e14ef2cc35,0,[]
iam-identity,IAM Identity Service,"[""AC-16(a)""]",automated,ibm-cloud-rule,"IBM Cloud provides the means to associate a customer-defined security identifier and attributes with IBM Cloud resources (for example, tags)",rule-48f66d43-7072-4252-ba0c-c2467272320b,0,[]
iam-identity,IAM Identity Service,"[""AC-17(9)(0)""]",automated,ibm-cloud-rule,IBM Cloud provides the ability to immediately terminate a user session for an account,rule-6f5da7bc-c57c-4809-a1b4-e1ac2da1883a,0,[]
appid,App ID,"[""AU-2(a)"",""AU-2(d)""]",automated,ibm-cloud-rule,Check whether App ID runtime activity capture is enabled,rule-205be498-d906-4439-a20c-d7856a5c1251,0,[]
cloud-object-storage,Cloud Object Storage,"[""AU-4(0)"",""SI-12(0)""]",automated,ibm-cloud-rule,Check whether Cloud Object Storage buckets with a quota have threshold-based alerts enabled,rule-94ab2e68-1c5d-401a-8b10-139c1873913a,0,[]
atracker,Activity Tracker event routing,"[""AU-9(2)(0)"",""CP-6(a)"",""CP-6(b)"",""CP-6(1)(0)"",""CP-7(a)"",""CP-7(b)"",""CP-7(c)"",""CP-7(1)(0)"",""CP-9(b)"",""CP-9(d)"",""CP-10(0)"",""SC-6(0)""]",automated,ibm-cloud-rule,Check whether any Cloud Object Storage buckets used by Activity Tracker Event Routing have resiliency set to cross region,rule-d3583efc-2b25-4dde-a243-20c94e47469a,0,[]
container-registry,Container Registry,"[""CA-2(2)(0)"",""CA-7(d)"",""CM-3(2)(0)"",""CM-4(0)"",""CM-4(1)(0)"",""CM-7(1)(a)"",""RA-5(a)"",""RA-5(b)"",""RA-5(c)"",""RA-5(d)"",""RA-5(1)(0)"",""RA-5(2)(0)"",""RA-5(3)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(e)"",""SA-10(1)(0)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(c)"",""SI-2(d)"",""SI-2(2)(0)"",""SI-3(a)""]",automated,ibm-cloud-rule,Check whether Container Registry Vulnerability Advisor scans for critical or high vulnerabilities in the system at least every # day(s),rule-51e15d43-3946-4898-b593-02e16a988d8e,1,"[{""parameter_name"":""scan_interval_max"",""parameter_display_name"":""Maximum number of days between vulnerability scans"",""parameter_type"":""numeric"",""parameter_default_value"":0}]"
toolchain,Toolchain,"[""CM-2(0)"",""CM-2(1)(a)"",""CM-2(1)(b)"",""CM-2(1)(c)"",""CM-2(2)(0)"",""CM-2(3)(0)"",""CM-3(e)"",""CM-3(f)"",""CM-3(2)(0)"",""CM-8(a)"",""CM-8(b)"",""CM-8(1)(0)"",""CM-8(2)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(a)"",""SA-10(b)"",""SA-15(a)"",""SI-2(a)"",""SI-2(d)"",""SI-2(2)(0)"",""SI-7(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain collects software bills of materials (SBOM) to provide transparency in build artifacts,rule-d42867cf-cd1b-4fe5-a9bc-54de0dc675c3,0,[]
toolchain,Toolchain,"[""CM-2(0)"",""CM-2(1)(a)"",""CM-2(1)(b)"",""CM-2(1)(c)"",""CM-2(2)(0)"",""CM-2(3)(0)"",""CM-3(a)"",""CM-3(b)"",""CM-3(c)"",""CM-3(d)"",""CM-3(e)"",""CM-3(f)"",""CM-3(g)"",""CM-3(2)(0)"",""CM-4(0)"",""CM-6(c)"",""CM-6(d)"",""CM-6(1)(0)"",""CM-8(a)"",""CM-8(b)"",""CM-8(1)(0)"",""CM-8(2)(0)"",""CM-9(a)"",""CM-9(b)"",""CM-9(c)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(a)"",""SA-10(b)"",""SA-10(c)"",""SA-10(d)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(c)"",""SI-2(d)"",""SI-2(2)(0)"",""SI-7(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain deployment has approved change documentation including security impact analysis,rule-ee9ce832-68f8-476f-9513-125f2c157b47,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""CM-4(0)"",""CM-4(1)(0)"",""CM-7(1)(a)"",""CM-10(1)(0)"",""RA-5(a)"",""RA-5(b)"",""RA-5(c)"",""RA-5(d)"",""RA-5(1)(0)"",""RA-5(2)(0)"",""RA-5(3)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(e)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(c)"",""SI-2(d)"",""SI-2(2)(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain scans source code and their dependencies to identify vulnerabilities,rule-a36d3a3d-560c-450b-b602-b68cd5633f0e,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""SA-8(0)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(d)"",""SI-2(2)(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain passes unit tests to validate all code changes,rule-de06c2c4-9426-4b40-9be3-49348fc2ecfc,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(b)"",""SA-10(c)"",""SA-10(1)(0)"",""SA-15(a)"",""SI-2(a)"",""SI-2(d)"",""SI-2(2)(0)"",""SI-7(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain signs build artifacts to attest their provenance,rule-e5527ef2-8682-4ac0-bd1d-aed1b92275c3,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""CM-4(0)"",""CM-4(1)(0)"",""CM-6(a)"",""CM-6(b)"",""CM-6(c)"",""CM-6(d)"",""CM-6(1)(0)"",""CM-7(b)"",""CM-7(1)(a)"",""RA-5(a)"",""RA-5(b)"",""RA-5(c)"",""RA-5(d)"",""RA-5(1)(0)"",""RA-5(2)(0)"",""RA-5(3)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(e)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(c)"",""SI-2(d)"",""SI-2(2)(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain validates code against Center for Internet Security (CIS) Docker benchmarks to ensure container runtimes are configured securely,rule-84006567-2c71-40c8-b0c7-3f4327c7fd17,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""CM-4(0)"",""CM-5(0)"",""CM-9(a)"",""CM-9(d)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(b)"",""SA-10(e)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(d)"",""SI-2(2)(0)"",""SI-7(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain verifies source code branch protection rules to enforce security policies,rule-3e6279e8-1de8-46c9-ab0e-0d054e472e4e,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""CM-4(0)"",""CM-4(1)(0)"",""CM-7(1)(a)"",""CM-9(d)"",""RA-5(a)"",""RA-5(b)"",""RA-5(c)"",""RA-5(d)"",""RA-5(1)(0)"",""RA-5(2)(0)"",""RA-5(3)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(e)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(c)"",""SI-2(d)"",""SI-2(2)(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain source code contains no secrets,rule-a7138ff9-36d7-41c2-bc34-4c3ed7e0c1a4,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""CM-4(0)"",""CM-4(1)(0)"",""CM-7(1)(a)"",""RA-5(a)"",""RA-5(b)"",""RA-5(c)"",""RA-5(d)"",""RA-5(1)(0)"",""RA-5(2)(0)"",""RA-5(3)(0)"",""SA-3(a)"",""SA-3(d)"",""SA-8(0)"",""SA-10(e)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(c)"",""SI-2(d)"",""SI-2(2)(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain scans build artifacts to identify vulnerabilities,rule-06a72b36-4132-432a-9b97-904fa47b409a,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""CM-4(1)(0)"",""CM-9(a)"",""RA-5(c)"",""RA-5(d)"",""SA-15(a)"",""SI-2(a)"",""SI-2(b)"",""SI-2(d)"",""SI-2(2)(0)""]",automated,ibm-cloud-rule,Check whether DevSecOps Toolchain passes acceptance tests to validate every deployment,rule-e4f8dd8f-e594-42d0-b677-87622a84a144,0,[]
toolchain,Toolchain,"[""CM-3(2)(0)"",""SA-8(0)""]",automated,ibm-cloud-rule,Check whether Toolchain is configured only with the allowed integration tools,rule-e208d1c0-8ede-49f0-b4a3-4da3da738733,1,"[{""parameter_name"":""allowed_tool_integration_services"",""parameter_display_name"":""List of allowed tool integration services for toolchains"",""parameter_type"":""string_list"",""parameter_default_value"":0}]"
